Place of interest,Station location,BiciMAD station,Station location,Indications
Instalación Deportiva Municipal Básica Arcos de Jalón,CALLE ARCOS DE JALON s/n c/v Albericia,Gutierre de Cetina,Calle Gutierre de Cetina nº 77,"https://www.google.com/maps/dir/40.42425405686439,-3.6159424880881414/40.429706,-3.640994/@40.42425405686439,-3.6159424880881414,17z/data=!3m1!4b1!4m7!4m6!1m3!2m2!1d-3.6159424880881414!2d40.42425405686439!1m0!3e2"
Instalación Deportiva Municipal Básica Arequipa,CALLE AREQUIPA 12,Carlota O’Neill,Calle Carlota O'Neill nº 32,"https://www.google.com/maps/dir/40.468885518432465,-3.6390339556431943/40.44370542379883,-3.648958444298144/@40.468885518432465,-3.6390339556431943,17z/data=!3m1!4b1!4m7!4m6!1m3!2m2!1d-3.6390339556431943!2d40.468885518432465!1m0!3e2"
Instalación Deportiva Municipal Básica Arganda,CALLE ARGANDA 10,Madrid Río-Yeserías,Paseo de Yeserías nº 45,"https://www.google.com/maps/dir/40.40011363617556,-3.7080977455472133/40.3974444,-3.7065277/@40.40011363617556,-3.7080977455472133,17z/data=!3m1!4b1!4m7!4m6!1m3!2m2!1d-3.7080977455472133!2d40.40011363617556!1m0!3e2"
Instalación Deportiva Municipal Básica Arjona,CALLE CONCEJAL FRANCISCO JOSE JIMENEZ MARTIN 11,Caramuel,Calle Caramuel nº 51,"https://www.google.com/maps/dir/40.39998426244181,-3.7486569900905633/40.40913630273305,-3.728533714316331/@40.39998426244181,-3.7486569900905633,17z/data=!3m1!4b1!4m7!4m6!1m3!2m2!1d-3.7486569900905633!2d40.39998426244181!1m0!3e2"
Instalación Deportiva Municipal Básica Arriaga,AVENIDA DAROCA 95,Gutierre de Cetina,Calle Gutierre de Cetina nº 77,"https://www.google.com/maps/dir/40.425090271008656,-3.6427216652412877/40.429706,-3.640994/@40.425090271008656,-3.6427216652412877,17z/data=!3m1!4b1!4m7!4m6!1m3!2m2!1d-3.6427216652412877!2d40.425090271008656!1m0!3e2"
Instalación Deportiva Municipal Básica Arroyo Belincoso,AVENIDA DOCTOR GARCIA TAPIA 76 c/v calle Arroyo Belincoso,Plaza del Encuentro,Calle Arroyo de las Pilillas nº 6,"https://www.google.com/maps/dir/40.41206030334087,-3.6512840783264453/40.40617,-3.65122/@40.41206030334087,-3.6512840783264453,17z/data=!3m1!4b1!4m7!4m6!1m3!2m2!1d-3.6512840783264453!2d40.41206030334087!1m0!3e2"
Instalación Deportiva Municipal Básica Arroyo Fontarrón,CALLE ARROYO FONTARRON 381,Pavones,Calle Hacienda de Pavones nº 342,"https://www.google.com/maps/dir/40.39571737351038,-3.6368098584337534/40.400368,-3.634587/@40.39571737351038,-3.6368098584337534,17z/data=!3m1!4b1!4m7!4m6!1m3!2m2!1d-3.6368098584337534!2d40.39571737351038!1m0!3e2"
Instalación Deportiva Municipal Básica Arroyo Media Legua,INST. DEPORTIVA BASICA ARROYO DE LA MEDIA LEGUA ,Marqués de Corbera 52,Avenida Marqués de Corbera nº 52,"https://www.google.com/maps/dir/40.42248384692211,-3.6486800873073397/40.426207143200884,-3.651034981803642/@40.42248384692211,-3.6486800873073397,17z/data=!3m1!4b1!4m7!4m6!1m3!2m2!1d-3.6486800873073397!2d40.42248384692211!1m0!3e2"
Instalación Deportiva Municipal Básica Arroyo de Opañel,CALLE ARROYO OPAÑEL 12,Marqués de Vadillo,Glorieta Marqués de Vadillo nº 9,"https://www.google.com/maps/dir/40.38849471888208,-3.717872942583152/40.398247,-3.716591/@40.38849471888208,-3.717872942583152,17z/data=!3m1!4b1!4m7!4m6!1m3!2m2!1d-3.717872942583152!2d40.38849471888208!1m0!3e2"
Instalación Deportiva Municipal Básica Aster,AVENIDA ASTER 54 Posterior,Colombia,Calle Colombia nº 7,"https://www.google.com/maps/dir/40.45643308528734,-3.664945117466593/40.4572466,-3.6763439/@40.45643308528734,-3.664945117466593,17z/data=!3m1!4b1!4m7!4m6!1m3!2m2!1d-3.664945117466593!2d40.45643308528734!1m0!3e2"
